journal_id,journal_index_date,code_group,amount_journal,kartu_piutang_id,amount_kartu_piutang,kartu_piutang_index_date
353194,26010109050003,120001,-14000.00,111110,-14000.00,260101090500004
103429,26010109090001,120001,37838.00,25648,37838.00,260101090900001
103433,26010109090002,120001,9009.00,25649,9009.00,260101090900002
103437,26010109090003,120001,5153.00,25650,5153.00,260101090900003
359014,26010109090004,120001,-52000.00,114015,-52000.00,260101090900005
75084,26010109100001,120001,9009.00,15759,9009.00,260101091000001
75088,26010109100002,120001,991.00,15760,991.00,260101091000002
353196,26010109100003,120001,-10000.00,111111,-10000.00,260101091000004
75092,26010109120001,120001,8108.00,15762,8108.00,260101091200001
75096,26010109120002,120001,892.00,15763,892.00,260101091200002
353198,26010109120003,120001,-9000.00,111112,-9000.00,260101091200004
103441,26010109170001,120001,83784.00,25652,83784.00,260101091700001
103445,26010109170002,120001,9216.00,25653,9216.00,260101091700002
359016,26010109170003,120001,-93000.00,114016,-93000.00,260101091700004
103449,26010109220001,120001,7658.00,25655,7658.00,260101092200001
103453,26010109220002,120001,842.00,25656,842.00,260101092200002
359018,26010109220003,120001,-8500.00,114017,-8500.00,260101092200004
75108,26010109250001,120001,16216.00,15768,16216.00,260101092500001
75112,26010109250002,120001,1784.00,15769,1784.00,260101092500002
353202,26010109250003,120001,-18000.00,111114,-18000.00,260101092500004
103457,26010109260001,120001,72072.00,25658,72072.00,260101092600001
103461,26010109260002,120001,37838.00,25659,37838.00,260101092600002
103465,26010109260003,120001,55856.00,25660,55856.00,260101092600003
103469,26010109260004,120001,18234.00,25661,18234.00,260101092600004
359020,26010109260005,120001,-184000.00,114018,-184000.00,260101092600006
75116,26010109310001,120001,7207.00,15771,7207.00,260101093100001
75120,26010109310002,120001,793.00,15772,793.00,260101093100002
353204,26010109310003,120001,-8000.00,111115,-8000.00,260101093100004
103473,26010109350001,120001,18919.00,25663,18919.00,260101093500001
103477,26010109350002,120001,2081.00,25664,2081.00,260101093500002
359022,26010109350003,120001,-21000.00,114019,-21000.00,260101093500004
75124,26010109390001,120001,10811.00,15774,10811.00,260101093900001
75128,26010109390002,120001,6306.00,15775,6306.00,260101093900002
75132,26010109390003,120001,1883.00,15776,1883.00,260101093900003
353206,26010109390004,120001,-19000.00,111116,-19000.00,260101093900005
75136,26010109400001,120001,11261.00,15778,11261.00,260101094000001
75140,26010109400002,120001,1239.00,15779,1239.00,260101094000002
103481,26010109400004,120001,76577.00,25666,76577.00,260101094000004
103485,26010109400005,120001,76577.00,25667,76577.00,260101094000005
103489,26010109400006,120001,16846.00,25668,16846.00,260101094000006
103493,26010109400008,120001,9009.00,25670,9009.00,260101094000008
103497,26010109400009,120001,1802.00,25671,1802.00,260101094000009
103501,26010109400010,120001,1189.00,25672,1189.00,260101094000010
353208,26010109400012,120001,-12500.00,111117,-12500.00,260101094000012
359024,26010109400013,120001,-170000.00,114020,-170000.00,260101094000013
359026,26010109400014,120001,-12000.00,114021,-12000.00,260101094000014
75144,26010109410001,120001,10811.00,15781,10811.00,260101094100001
75148,26010109410002,120001,1189.00,15782,1189.00,260101094100002
103505,26010109410004,120001,14414.00,25674,14414.00,260101094100004
103509,26010109410005,120001,1586.00,25675,1586.00,260101094100005
353210,26010109410007,120001,-12000.00,111118,-12000.00,260101094100007
359028,26010109410008,120001,-16000.00,114022,-16000.00,260101094100008
42928,26010109420001,120001,202703.00,4673,202703.00,260101094200001
42932,26010109420002,120001,22297.00,4674,22297.00,260101094200002
347230,26010109420003,120001,-225000.00,108171,-225000.00,260101094200004
42936,26010109430001,120001,509009.00,4676,509009.00,260101094300001
42940,26010109430002,120001,315315.00,4677,315315.00,260101094300002
42944,26010109430003,120001,90676.00,4678,90676.00,260101094300003
